data,sample_size,RMSE,MAE,time_took,kernel
abalone,480,2.359575502,5.898598,,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,880,2.531042787,20.278334,,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,1280,2.321279426,32.743002,,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,1680,2.396265783,46.456249,,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,2080,2.189448302,79.489585,,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,2480,2.331231036,117.614172,,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,2880,2.084934788,201.138479,,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,3280,2.036196727,226.465692,,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,80,3.037813686,2.217262234,0.172912,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,320,3.04968102,2.005472919,2.272727,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,560,2.503359323,1.708126761,8.297635,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,800,2.548205817,1.87606796,17.409969,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,1040,2.517867285,1.68449233,24.145376,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,1280,2.185592738,1.588243978,32.697621,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,1520,2.368014328,1.65932909,41.207385,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,1760,2.168445112,1.488609245,52.214136,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,2000,2.320011117,1.587560862,71.82603,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,2240,2.463787479,1.644904582,92.453298,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,2480,2.221043492,1.51842196,117.544805,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,2720,2.376067546,1.644331204,158.079731,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,2960,2.070206957,1.437534237,187.083351,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,3200,2.313417397,1.584021563,258.353019,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,80,2.25753881,1.94665194,0.202541,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,320,2.532614071,1.731761781,2.396049,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,560,2.393208459,1.773907841,8.284113,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,800,2.257572983,1.56416354,18.533463,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,1040,2.017414905,1.490802352,28.205181,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,1280,2.332745079,1.544449429,36.254252,"RationalQuadratic(alpha=2,length_scale=0.5)"
